                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.72741,                0.62961,                  1.056,                0.83965,                 1.3268,                 1.1463,                 0.9925,                      1,                  0.995,                0.87777,                0.42999,                0.46724,                0.88425,                0.53065,                 1.2601,                 0.9076,              0.0009902,              0.0009902,              0.0009902
                    105,                0.68268,                0.57652,                0.99518,                0.83716,                 1.0337,                 1.0611,                 0.9925,                      1,                  0.995,                0.87777,                0.42999,                0.46724,                0.88425,                0.53065,                 1.2601,                 0.9076,              0.0009803,              0.0009803,              0.0009803
                    106,                 0.7191,                0.62707,                  0.989,                0.86799,                 1.1494,                 1.0246,                0.99135,                      1,                  0.995,                0.85829,                0.53212,                0.46502,                0.93517,                0.62086,                 1.2936,                0.96563,              0.0009704,              0.0009704,              0.0009704
                    107,                0.65953,                0.57352,                 1.0067,                0.78178,                 1.0654,                 1.0496,                0.98117,                      1,                  0.995,                 0.8911,                0.51388,                0.47486,                0.93347,                0.55256,                 1.2513,                0.95461,              0.0009605,              0.0009605,              0.0009605
                    108,                0.61405,                0.56026,                0.99639,                0.66157,                 1.1195,                0.98357,                0.85574,                      1,                0.97682,                0.87324,                0.46718,                0.50057,                0.89388,                0.52991,                 1.3274,                0.91935,              0.0009506,              0.0009506,              0.0009506
                    109,                0.70074,                0.59891,                 1.0293,                0.78052,                 1.2011,                  1.062,                0.85574,                      1,                0.97682,                0.87324,                0.46718,                0.50057,                0.89388,                0.52991,                 1.3274,                0.91935,              0.0009407,              0.0009407,              0.0009407
                    110,                0.72205,                0.65404,                 1.0788,                0.87084,                  1.117,                 1.1052,                0.99672,                    0.8,                0.96192,                0.83467,                0.50227,                0.58569,                0.90687,                0.58484,                  1.383,                0.95391,              0.0009308,              0.0009308,              0.0009308
                    111,                0.67884,                0.58511,                 1.0222,                0.81762,                 1.0686,                 1.0425,                0.90883,                0.99715,                0.98591,                 0.8724,                0.50132,                 0.5775,                0.90291,                 0.5917,                 1.2676,                0.95502,              0.0009209,              0.0009209,              0.0009209
                    112,                0.67802,                0.57248,                 1.0272,                0.74713,                0.96109,                 1.0416,                0.97907,                      1,                  0.995,                0.90197,                0.47647,                 0.5636,                0.88924,                0.47024,                 1.1825,                0.91518,               0.000911,               0.000911,               0.000911
                    113,                0.71734,                0.59184,                0.98848,                0.86024,                0.90275,                 1.0212,                0.97907,                      1,                  0.995,                0.90197,                0.47647,                 0.5636,                0.88924,                0.47024,                 1.1825,                0.91518,              0.0009011,              0.0009011,              0.0009011
                    114,                0.68487,                0.54628,                 1.0009,                 0.7903,                0.92759,                 1.0063,                0.99998,                      1,                  0.995,                0.92616,                 0.3988,                0.46016,                0.85862,                0.41785,                 1.1159,                0.88625,              0.0008912,              0.0008912,              0.0008912
                    115,                0.59006,                0.52007,                0.95908,                0.64153,                0.89117,                0.96246,                0.98645,                      1,                  0.995,                0.90388,                 0.4031,                0.45813,                0.85498,                0.48513,                 1.2045,                0.88872,              0.0008813,              0.0008813,              0.0008813
                    116,                 0.7536,                0.66082,                 1.1074,                0.78473,                 1.1548,                 1.1156,                0.99893,                    0.9,                0.98591,                0.89222,                0.42525,                 0.4848,                0.86728,                0.53066,                 1.2102,                0.90346,              0.0008714,              0.0008714,              0.0008714
                    117,                0.70966,                0.62941,                  1.054,                0.84444,                 1.2924,                 1.0817,                0.99893,                    0.9,                0.98591,                0.89222,                0.42525,                 0.4848,                0.86728,                0.53066,                 1.2102,                0.90346,              0.0008615,              0.0008615,              0.0008615
                    118,                0.58311,                0.53103,                0.96154,                0.69742,                0.93379,                0.98769,                0.90214,                      1,                0.98591,                0.89235,                0.43777,                0.46726,                0.87698,                 0.5479,                 1.1706,                 0.9206,              0.0008516,              0.0008516,              0.0008516
                    119,                0.65249,                0.52356,                 1.0143,                0.74296,                 1.0102,                 1.0142,                0.90778,                0.98554,                0.96773,                0.86041,                 0.4428,                0.44332,                0.87675,                0.52885,                  1.319,                0.91361,              0.0008417,              0.0008417,              0.0008417
                    120,                0.70752,                0.56634,                 1.0409,                0.80758,                0.98463,                 1.0554,                 0.9913,                    0.9,                0.98591,                0.87846,                0.43148,                0.45003,                 0.8762,                0.50113,                  1.109,                 0.9055,              0.0008318,              0.0008318,              0.0008318
                    121,                0.66472,                0.56886,                 1.0251,                0.81657,                0.96975,                 1.0702,                 0.9913,                    0.9,                0.98591,                0.87846,                0.43148,                0.45003,                 0.8762,                0.50113,                  1.109,                 0.9055,              0.0008219,              0.0008219,              0.0008219
                    122,                0.70079,                0.69724,                 1.0685,                0.90744,                 1.2276,                 1.1857,                0.99063,                    0.9,                0.97833,                0.87529,                0.42351,                0.45745,                0.87372,                0.49741,                 1.1582,                0.91274,               0.000812,               0.000812,               0.000812
                    123,                0.66792,                0.54254,                0.97528,                0.80052,                0.95346,                  1.025,                0.83189,                0.99049,                0.96833,                0.88512,                0.43375,                0.44721,                0.87286,                0.48752,                 1.2029,                0.89518,              0.0008021,              0.0008021,              0.0008021
                    124,                   0.64,                 0.5504,                0.98443,                0.70414,                0.90763,                0.99608,                0.89668,                    0.9,                0.96192,                 0.8794,                0.44641,                 0.4532,                0.88386,                0.47047,                 1.2504,                0.89864,              0.0007922,              0.0007922,              0.0007922
                    125,                0.59121,                0.51955,                0.98222,                0.66919,                0.83896,                0.99686,                0.89668,                    0.9,                0.96192,                 0.8794,                0.44641,                 0.4532,                0.88386,                0.47047,                 1.2504,                0.89864,              0.0007823,              0.0007823,              0.0007823
                    126,                0.61674,                0.54623,                  1.014,                0.71038,                 1.0064,                 1.0182,                      1,                0.98524,                  0.995,                0.90378,                0.47797,                0.48647,                0.90397,                0.51186,                 1.1539,                0.92355,              0.0007724,              0.0007724,              0.0007724
                    127,                0.68435,                0.63363,                 1.0667,                0.76803,                  1.002,                 1.0849,                      1,                0.89578,                0.97833,                0.88781,                0.48867,                0.50553,                0.91029,                0.47883,                 1.2326,                0.90837,              0.0007625,              0.0007625,              0.0007625
                    128,                0.63413,                0.55379,                0.99867,                0.75753,                0.87015,                 1.0232,                0.82964,                0.97561,                0.93944,                0.86431,                0.42252,                0.44997,                 0.8811,                0.41934,                 1.2278,                0.88418,              0.0007526,              0.0007526,              0.0007526
                    129,                0.59198,                0.51416,                0.96944,                 0.6808,                0.88714,                  1.014,                0.82964,                0.97561,                0.93944,                0.86431,                0.42252,                0.44997,                 0.8811,                0.41934,                 1.2278,                0.88418,              0.0007427,              0.0007427,              0.0007427
                    130,                0.56778,                0.50214,                  0.954,                0.69151,                0.82102,                0.99291,                0.88867,                    0.9,                0.95167,                0.87158,                 0.4103,                0.47462,                0.87751,                0.42879,                 1.1897,                0.89179,              0.0007328,              0.0007328,              0.0007328
                    131,                0.71868,                0.54023,                 1.0447,                 0.8276,                0.95946,                 1.0716,                0.88867,                0.79846,                0.91444,                 0.8299,                0.43456,                0.45134,                0.89597,                0.48162,                  1.274,                0.91522,              0.0007229,              0.0007229,              0.0007229
                    132,                0.68214,                0.49836,                0.93536,                0.78868,                0.71802,                0.94468,                0.86662,                    0.9,                0.95643,                 0.8721,                0.42054,                0.43162,                0.89104,                0.47181,                 1.2245,                0.91048,               0.000713,               0.000713,               0.000713
                    133,                0.67659,                0.53886,                0.96353,                0.78525,                0.85439,                 0.9963,                0.86662,                    0.9,                0.95643,                 0.8721,                0.42054,                0.43162,                0.89104,                0.47181,                 1.2245,                0.91048,              0.0007031,              0.0007031,              0.0007031
                    134,                0.59111,                0.53623,                 0.9978,                0.64817,                0.93481,                 1.0026,                0.98702,                    0.8,                0.95643,                0.88398,                 0.3723,                0.42869,                0.86029,                0.38965,                 1.1913,                0.86707,              0.0006932,              0.0006932,              0.0006932
                    135,                0.70274,                0.59982,                  1.082,                0.85005,                0.97638,                 1.1156,                0.89875,                0.88871,                0.96833,                 0.8868,                 0.3698,                0.45603,                0.84434,                0.41178,                 1.1178,                0.86586,              0.0006833,              0.0006833,              0.0006833
                    136,                0.53314,                0.46074,                 0.9247,                0.61935,                 0.8313,                0.94764,                0.90855,                0.99402,                0.98591,                0.90613,                0.39925,                0.44994,                0.84871,                0.44002,                 1.0541,                0.87019,              0.0006734,              0.0006734,              0.0006734
                    137,                0.68744,                0.52512,                 1.0209,                0.80253,                0.84414,                 1.0525,                0.90855,                0.99402,                0.98591,                0.90613,                0.39925,                0.44994,                0.84871,                0.44002,                 1.0541,                0.87019,              0.0006635,              0.0006635,              0.0006635
                    138,                0.60542,                0.53432,                 1.0159,                0.66485,                0.77868,                 1.0199,                0.89072,                      1,                0.96773,                0.90718,                0.40694,                0.42882,                0.84826,                0.38585,                  1.119,                0.86313,              0.0006536,              0.0006536,              0.0006536
                    139,                0.63923,                0.54228,                 1.0471,                0.72962,                0.90302,                 1.0794,                0.90614,                      1,                0.97682,                0.90184,                0.41788,                0.42249,                0.85119,                0.42485,                 1.0428,                0.87955,              0.0006437,              0.0006437,              0.0006437
                    140,                0.57488,                0.50239,                0.94784,                 0.6799,                0.88642,                0.96456,                0.97663,                      1,                  0.995,                0.89424,                0.44388,                0.41954,                0.85899,                0.47814,                0.95534,                0.89114,              0.0006338,              0.0006338,              0.0006338
                    141,                0.51843,                0.47171,                0.98023,                0.60598,                0.82452,                0.98652,                0.97663,                      1,                  0.995,                0.89424,                0.44388,                0.41954,                0.85899,                0.47814,                0.95534,                0.89114,              0.0006239,              0.0006239,              0.0006239
                    142,                 0.6382,                0.48155,                0.96194,                0.77693,                0.81724,                 1.0041,                0.97984,                      1,                  0.995,                0.88636,                0.46219,                0.41709,                0.86714,                0.50143,                0.97346,                0.88924,               0.000614,               0.000614,               0.000614
                    143,                0.61597,                 0.5396,                0.99086,                0.74275,                0.80159,                 1.0293,                      1,                0.89493,                0.98591,                0.87923,                0.46717,                0.40467,                0.88333,                0.50466,                0.98517,                0.89091,              0.0006041,              0.0006041,              0.0006041
                    144,                0.62029,                0.49992,                0.98382,                 0.7359,                0.69616,                 1.0208,                      1,                0.89075,                0.98591,                0.90189,                0.43153,                0.39619,                0.88966,                0.45582,                0.98754,                0.88262,              0.0005942,              0.0005942,              0.0005942
                    145,                0.51378,                0.47235,                0.97434,                0.61334,                0.75902,                0.99477,                      1,                0.89075,                0.98591,                0.90189,                0.43153,                0.39619,                0.88966,                0.45582,                0.98754,                0.88262,              0.0005843,              0.0005843,              0.0005843
                    146,                0.58098,                0.45264,                0.91644,                0.63833,                0.72342,                0.92747,                      1,                0.88221,                0.97833,                0.91069,                0.40894,                0.39992,                0.88368,                0.40194,                0.97517,                0.89101,              0.0005744,              0.0005744,              0.0005744
                    147,                0.59806,                0.52004,                0.99241,                 0.6433,                0.86915,                0.99978,                0.90796,                0.98761,                0.98591,                0.92168,                0.38707,                0.38338,                0.87579,                0.39814,                0.94673,                0.89331,              0.0005645,              0.0005645,              0.0005645
                    148,                0.63416,                0.48983,                0.99891,                0.66824,                0.69134,                 1.0062,                0.90861,                0.99474,                0.98591,                0.92076,                 0.3643,                0.35962,                0.86521,                0.39426,                 0.8905,                 0.8917,              0.0005546,              0.0005546,              0.0005546
                    149,                 0.5898,                0.44501,                0.92931,                0.64551,                0.63374,                0.94402,                0.90861,                0.99474,                0.98591,                0.92076,                 0.3643,                0.35962,                0.86521,                0.39426,                 0.8905,                 0.8917,              0.0005447,              0.0005447,              0.0005447
                    150,                0.51911,                0.49868,                0.97589,                0.67186,                0.97588,                 1.0041,                0.90882,                      1,                0.98591,                0.91868,                0.36601,                0.36234,                0.86354,                0.39651,                0.88497,                0.89329,              0.0005348,              0.0005348,              0.0005348
                    151,                0.53941,                0.46761,                0.92497,                0.64483,                0.73286,                 0.9417,                0.99502,                    0.9,                0.98591,                0.92188,                0.37227,                0.35528,                0.86409,                0.42075,                0.85513,                0.89589,              0.0005249,              0.0005249,              0.0005249
                    152,                0.50776,                0.42169,                0.92529,                0.59833,                0.61211,                0.94818,                0.90838,                      1,                0.98591,                0.91045,                0.38019,                0.36226,                0.86251,                0.45077,                0.86959,                 0.8982,               0.000515,               0.000515,               0.000515
                    153,                0.62272,                0.52375,                 1.0243,                0.75738,                 0.9132,                 1.0769,                0.90838,                      1,                0.98591,                0.91045,                0.38019,                0.36226,                0.86251,                0.45077,                0.86959,                 0.8982,              0.0005051,              0.0005051,              0.0005051
                    154,                0.72961,                0.49641,                 1.0777,                 0.8002,                0.85126,                 1.0777,                      1,                0.99814,                  0.995,                0.91722,                0.38237,                0.36916,                0.86198,                0.44875,                0.83085,                0.89647,              0.0004952,              0.0004952,              0.0004952
                    155,                0.59641,                0.44878,                0.97356,                0.72451,                0.75917,                0.98396,                0.99244,                      1,                  0.995,                 0.9178,                0.38311,                0.36134,                 0.8607,                0.44219,                0.83143,                0.89191,              0.0004853,              0.0004853,              0.0004853
                    156,                0.55709,                0.44748,                0.92351,                0.65463,                0.74628,                0.96286,                 0.9888,                      1,                  0.995,                0.92275,                0.36958,                0.36616,                0.85555,                0.41824,                0.84641,                0.88054,              0.0004754,              0.0004754,              0.0004754
                    157,                0.65833,                0.53046,                 1.0367,                0.74559,                0.82815,                 1.0637,                 0.9888,                      1,                  0.995,                0.92275,                0.36958,                0.36616,                0.85555,                0.41824,                0.84641,                0.88054,              0.0004655,              0.0004655,              0.0004655
                    158,                0.58232,                 0.4489,                0.95104,                0.64754,                0.71773,                0.96645,                      1,                0.96424,                  0.995,                0.91964,                0.35112,                0.36027,                 0.8496,                0.38199,                0.85587,                0.86554,              0.0004556,              0.0004556,              0.0004556
                    159,                0.52561,                0.49134,                  1.004,                0.59845,                0.82695,                 1.0284,                0.89177,                      1,                0.98591,                0.94101,                 0.3374,                0.36832,                0.84022,                0.33933,                0.86226,                0.84696,              0.0004457,              0.0004457,              0.0004457
                    160,                0.62284,                 0.4708,                0.98725,                0.67214,                0.77612,                0.96968,                      1,                0.98568,                  0.995,                0.95383,                  0.341,                0.37257,                0.83389,                0.31724,                0.85587,                0.83463,              0.0004358,              0.0004358,              0.0004358
                    161,                 0.5274,                0.44261,                0.95301,                0.64683,                0.71354,                0.99714,                      1,                0.98568,                  0.995,                0.95383,                  0.341,                0.37257,                0.83389,                0.31724,                0.85587,                0.83463,              0.0004259,              0.0004259,              0.0004259
                    162,                0.54623,                0.42237,                0.93585,                0.61696,                0.64837,                0.95215,                      1,                0.97416,                  0.995,                0.95413,                0.34797,                0.36678,                0.83082,                0.30619,                0.87338,                0.82835,               0.000416,               0.000416,               0.000416
                    163,                0.54191,                0.46389,                 0.9585,                0.63448,                 0.7703,                0.98335,                      1,                0.97338,                  0.995,                0.95428,                0.33566,                0.36833,                0.82718,                0.29046,                0.86608,                0.82482,              0.0004061,              0.0004061,              0.0004061
                    164,                0.55571,                0.43879,                0.92497,                0.64096,                0.72293,                0.94507,                      1,                0.88868,                0.98591,                0.93866,                0.33096,                0.37158,                0.82823,                0.31058,                0.87086,                0.82805,              0.0003962,              0.0003962,              0.0003962
                    165,                0.55101,                0.43259,                0.94742,                 0.6553,                0.69044,                 1.0049,                      1,                0.88868,                0.98591,                0.93866,                0.33096,                0.37158,                0.82823,                0.31058,                0.87086,                0.82805,              0.0003863,              0.0003863,              0.0003863
                    166,                0.49792,                0.45192,                0.92217,                0.54414,                0.73338,                0.92125,                0.90845,                 0.9929,                0.98591,                0.94063,                0.34018,                0.37012,                0.83332,                0.33342,                0.85853,                0.83588,              0.0003764,              0.0003764,              0.0003764
                    167,                0.59183,                0.45556,                 0.9957,                0.64912,                0.68747,                 1.0151,                      1,                0.99451,                  0.995,                0.94914,                0.34556,                0.35867,                0.83539,                0.34467,                0.78045,                0.83954,              0.0003665,              0.0003665,              0.0003665
                    168,                0.51016,                0.45631,                0.92962,                0.62842,                0.80291,                0.95582,                 0.9988,                      1,                  0.995,                0.93764,                0.34193,                0.35881,                0.83379,                0.32997,                0.74574,                0.83682,              0.0003566,              0.0003566,              0.0003566
                    169,                0.53465,                0.43135,                 0.9781,                0.64999,                0.63414,                 1.0071,                 0.9988,                      1,                  0.995,                0.93764,                0.34193,                0.35881,                0.83379,                0.32997,                0.74574,                0.83682,              0.0003467,              0.0003467,              0.0003467
                    170,                 0.5984,                0.44856,                0.99115,                0.66803,                0.79983,                0.99533,                0.99381,                      1,                  0.995,                0.95406,                0.33898,                0.34819,                0.83039,                0.31298,                0.73304,                 0.8329,              0.0003368,              0.0003368,              0.0003368
                    171,                0.51279,                0.45351,                0.96186,                 0.6435,                0.71785,                 1.0042,                      1,                0.99499,                  0.995,                0.93363,                0.34069,                 0.3489,                0.82877,                0.31342,                0.75537,                0.83117,              0.0003269,              0.0003269,              0.0003269
                    172,                0.49997,                0.43138,                0.94467,                0.53469,                0.74638,                0.96797,                0.98553,                      1,                  0.995,                0.93274,                0.33959,                 0.3475,                  0.829,                0.33063,                0.72616,                0.83227,               0.000317,               0.000317,               0.000317
                    173,                0.57836,                0.54021,                 1.0295,                0.67898,                0.95257,                 1.0667,                0.98553,                      1,                  0.995,                0.93274,                0.33959,                 0.3475,                  0.829,                0.33063,                0.72616,                0.83227,              0.0003071,              0.0003071,              0.0003071
                    174,                0.48857,                0.41348,                0.91363,                0.58531,                0.72798,                0.94229,                      1,                0.99698,                  0.995,                0.92802,                0.33298,                0.34832,                0.82907,                0.33729,                0.73894,                0.83459,              0.0002972,              0.0002972,              0.0002972
                    175,                0.55537,                0.43776,                0.97527,                0.62085,                 0.7269,                0.98409,                0.99898,                      1,                  0.995,                0.92811,                0.32553,                0.34908,                0.82866,                0.33673,                0.72125,                0.83568,              0.0002873,              0.0002873,              0.0002873
                    176,                0.51079,                0.44179,                0.91903,                0.60041,                0.67836,                0.94767,                0.99449,                      1,                  0.995,                0.93071,                0.32033,                0.34428,                0.82938,                0.34123,                 0.6875,                0.83913,              0.0002774,              0.0002774,              0.0002774
                    177,                0.60932,                0.47218,                0.97531,                0.73473,                0.80502,                0.98566,                0.99449,                      1,                  0.995,                0.93071,                0.32033,                0.34428,                0.82938,                0.34123,                 0.6875,                0.83913,              0.0002675,              0.0002675,              0.0002675
                    178,                0.54724,                0.43342,                0.99635,                0.63774,                0.69281,                 1.0171,                0.99425,                      1,                  0.995,                0.93214,                0.32261,                0.33645,                0.82964,                0.34312,                0.67748,                0.84245,              0.0002576,              0.0002576,              0.0002576
                    179,                0.50267,                0.40459,                0.95373,                0.53804,                0.65996,                0.95757,                0.99438,                      1,                  0.995,                0.94111,                0.32637,                0.33518,                0.83184,                0.35055,                0.67962,                0.84672,              0.0002477,              0.0002477,              0.0002477
                    180,                0.49445,                0.40852,                0.88197,                0.54166,                0.60115,                0.89359,                0.99412,                      1,                  0.995,                0.94111,                0.32718,                0.33225,                0.83187,                0.35579,                0.67874,                0.84899,              0.0002378,              0.0002378,              0.0002378
                    181,                0.52798,                0.39938,                0.92878,                0.58801,                0.71209,                0.94005,                0.99412,                      1,                  0.995,                0.94111,                0.32718,                0.33225,                0.83187,                0.35579,                0.67874,                0.84899,              0.0002279,              0.0002279,              0.0002279
                    182,                0.48377,                0.38571,                0.90622,                0.52448,                0.66315,                0.93078,                0.99416,                      1,                  0.995,                0.93723,                0.32202,                 0.3298,                0.82837,                0.35257,                0.67268,                0.84791,               0.000218,               0.000218,               0.000218
                    183,                0.39495,                0.38192,                0.89846,                0.46864,                0.66044,                0.91051,                0.99403,                      1,                  0.995,                0.95041,                0.31666,                 0.3296,                0.82474,                0.35095,                0.66887,                0.84611,              0.0002081,              0.0002081,              0.0002081
                    184,                0.48864,                0.40875,                0.94787,                0.56567,                0.64305,                0.97246,                0.99423,                      1,                  0.995,                0.95042,                0.31503,                 0.3274,                 0.8224,                0.35161,                0.66699,                0.84465,              0.0001982,              0.0001982,              0.0001982
                    185,                0.52366,                 0.4462,                0.99631,                0.67026,                0.72731,                 1.0243,                0.99423,                      1,                  0.995,                0.95042,                0.31503,                 0.3274,                 0.8224,                0.35161,                0.66699,                0.84465,              0.0001883,              0.0001883,              0.0001883
                    186,                0.45576,                0.38043,                0.91059,                0.61643,                0.65111,                0.95345,                 0.9947,                      1,                  0.995,                0.94979,                0.31658,                0.32754,                0.82231,                0.35786,                0.66952,                0.84494,              0.0001784,              0.0001784,              0.0001784
                    187,                0.44322,                0.43076,                0.90391,                0.50996,                0.75899,                0.95314,                 0.9952,                      1,                  0.995,                0.94882,                0.32397,                0.33456,                0.82391,                0.36797,                0.67697,                0.84574,              0.0001685,              0.0001685,              0.0001685
                    188,                 0.4265,                0.36868,                0.90848,                0.47978,                0.63457,                0.92334,                0.99675,                      1,                  0.995,                0.94106,                0.33012,                0.33941,                0.82618,                0.36984,                0.68854,                0.84579,              0.0001586,              0.0001586,              0.0001586
                    189,                0.49938,                0.42667,                0.97173,                0.55621,                0.67412,                0.99452,                0.99675,                      1,                  0.995,                0.94106,                0.33012,                0.33941,                0.82618,                0.36984,                0.68854,                0.84579,              0.0001487,              0.0001487,              0.0001487
                    190,                0.64035,                0.42689,                 1.0489,                0.67929,                0.68108,                 1.0757,                 0.9999,                      1,                  0.995,                0.92914,                0.34065,                0.34382,                0.82898,                0.37334,                0.69848,                0.84604,              0.0001388,              0.0001388,              0.0001388
                    191,                0.37362,                0.46434,                0.80644,                0.39934,                0.90808,                0.82076,                      1,                0.99319,                  0.995,                0.92842,                0.34867,                 0.3503,                0.83116,                0.35114,                0.73538,                0.84175,              0.0001289,              0.0001289,              0.0001289
                    192,                0.38643,                0.41135,                0.83326,                0.39575,                0.90723,                0.84015,                      1,                0.99357,                  0.995,                0.92599,                0.35345,                0.35421,                0.83192,                0.35395,                0.71399,                0.84144,               0.000119,               0.000119,               0.000119
                    193,                0.35995,                0.44872,                0.84577,                0.37943,                0.99102,                0.85501,                      1,                0.99357,                  0.995,                0.92599,                0.35345,                0.35421,                0.83192,                0.35395,                0.71399,                0.84144,              0.0001091,              0.0001091,              0.0001091
                    194,                0.32639,                0.44804,                0.87525,                0.34013,                 1.0015,                0.88511,                      1,                0.99616,                  0.995,                0.92269,                0.35123,                0.35574,                 0.8319,                0.35297,                0.70999,                0.84104,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.31743,                0.38743,                 0.8412,                0.34883,                0.87588,                0.84889,                      1,                0.99243,                  0.995,                0.92145,                0.35011,                0.35593,                0.83194,                0.35059,                0.72456,                0.84017,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.34912,                0.39239,                0.83755,                0.32075,                0.85072,                0.83446,                      1,                0.99004,                  0.995,                0.92141,                0.34501,                0.35374,                0.83039,                0.34692,                0.74429,                0.83835,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.34586,                0.45644,                0.89916,                0.37612,                0.97167,                0.91222,                      1,                0.99004,                  0.995,                0.92141,                0.34501,                0.35374,                0.83039,                0.34692,                0.74429,                0.83835,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                0.34514,                0.40825,                 0.7856,                0.36139,                0.91701,                0.79822,                      1,                0.98996,                  0.995,                0.92098,                0.34188,                0.35062,                0.83009,                0.34407,                 0.7514,                0.83755,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.36543,                0.41506,                0.84294,                0.36702,                0.88993,                0.85509,                      1,                0.98927,                  0.995,                0.92073,                  0.338,                0.34601,                0.82942,                0.33966,                0.74953,                0.83654,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                 0.3209,                0.37697,                0.81626,                0.33179,                0.85135,                 0.8257,                      1,                0.98976,                  0.995,                0.92378,                0.33407,                0.34283,                 0.8287,                 0.3365,                0.75283,                0.83621,               3.98e-05,               3.98e-05,               3.98e-05
