                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.74647,                0.97763,                 1.0273,                0.72469,                 2.9124,                 1.0227,                0.00333,                      1,                0.40304,                0.29504,                0.79012,                 2.4002,                 1.2501,                0.53431,                 7.9897,                0.98591,              0.0013042,              0.0013042,              0.0013042
                     26,                 0.8196,                0.89226,                0.99541,                0.84833,                 2.8205,                0.98213,                0.00333,                      1,                0.44639,                0.21362,                  1.598,                 2.7748,                  2.426,                0.90142,                 8.4932,                 1.2017,              0.0013494,              0.0013494,              0.0013494
                     27,                0.87935,                0.94197,                 1.1414,                0.94505,                 3.0774,                 1.1331,                0.00267,                    0.8,                0.16187,                0.03203,                 2.5156,                 3.2178,                 3.9557,                 1.8852,                 9.7218,                 1.9012,              0.0013941,              0.0013941,              0.0013941
                     28,                0.80618,                 1.1566,                 1.1591,                0.83221,                 3.4663,                  1.173,                0.00233,                    0.7,                0.03115,                 0.0054,                 3.5809,                 3.8448,                 6.7821,                 3.8689,                 13.126,                 6.8002,              0.0014381,              0.0014381,              0.0014381
                     29,                 1.0427,                 1.0083,                 1.1933,                 1.2037,                 2.8535,                 1.2284,                0.00233,                    0.7,                0.03115,                 0.0054,                 3.5809,                 3.8448,                 6.7821,                 3.8689,                 13.126,                 6.8002,              0.0014816,              0.0014816,              0.0014816
                     30,                0.98416,                 1.2151,                 1.2616,                 1.2687,                 3.4314,                 1.3466,                0.00233,                    0.7,                 0.0157,                0.00349,                 3.6689,                 3.8001,                 7.7784,                 3.4083,                 11.064,                 6.5533,              0.0015245,              0.0015245,              0.0015245
                     31,                0.98919,                 1.1762,                 1.1952,                 1.0688,                  3.453,                 1.2258,                0.00333,                      1,                0.02093,                0.00684,                 2.5953,                 3.1274,                 3.4054,                 1.9888,                 8.2738,                 2.5345,              0.0015668,              0.0015668,              0.0015668
                     32,                  1.038,                 1.1752,                 1.2384,                 1.2439,                 3.1252,                 1.2759,                0.00348,                    0.9,                0.17886,                0.08975,                 2.3703,                 3.1022,                 2.6304,                 2.0123,                 8.2633,                  2.669,              0.0016084,              0.0016084,              0.0016084
                     33,                 1.0072,                 1.2774,                 1.2023,                0.97455,                 3.5162,                 1.2096,                0.00348,                    0.9,                0.17886,                0.08975,                 2.3703,                 3.1022,                 2.6304,                 2.0123,                 8.2633,                  2.669,              0.0016495,              0.0016495,              0.0016495
                     34,                0.83864,                0.95406,                 1.0547,                0.89013,                  2.556,                 1.0778,                0.49028,                 0.4825,                0.38911,                 0.1382,                 2.4673,                 3.5226,                 3.5029,                 2.3222,                 8.2442,                 3.0878,              0.0016733,              0.0016733,              0.0016733
