                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.241,                 3.1768,                 1.4759,                 1.0334,                 6.0777,                 1.3158,                0.00768,                      1,                0.20635,                0.12677,                 0.6687,                 3.3609,                 1.0308,                0.57694,                 9.7103,                0.98323,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.94789,                 2.9322,                 1.2279,                0.79053,                 5.8227,                 1.2019,                0.00884,                      1,                0.31708,                0.27698,                0.42104,                 3.3032,                0.81505,                0.42044,                 9.5336,                0.86391,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      3,                0.81389,                 2.6623,                 1.1783,                0.65198,                 5.5018,                 1.1411,                0.01001,                      1,                0.46683,                0.38506,                0.34477,                 3.2636,                0.73867,                0.30554,                 9.3868,                0.81203,             0.00013204,             0.00013204,             0.00013204
