                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5593,                 4.4829,                 1.7762,                 1.2641,                 12.607,                 1.6947,                0.00791,                      1,                0.20336,                0.08749,                0.67505,                 3.3828,                 1.0579,                0.48675,                 9.6165,                 1.0323,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.93002,                 3.6813,                 1.4171,                0.88202,                 11.723,                 1.3904,                0.00916,                      1,                0.42803,                0.33309,                0.45039,                 3.3091,                0.97969,                0.33872,                 9.4637,                0.93696,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                0.67471,                 3.2853,                 1.0537,                0.65312,                 10.845,                 1.0598,                0.00968,                      1,                0.86667,                 0.8004,                0.41732,                 3.2706,                0.94091,                0.31337,                 9.4207,                0.90833,             0.00010695,             0.00010695,             0.00010695
                      4,                0.51971,                  2.843,                0.89156,                0.55958,                 10.275,                0.92006,                0.00982,                      1,                0.69216,                0.65104,                0.40744,                 3.2706,                0.78111,                0.29838,                 9.3796,                0.75419,             0.00012891,             0.00012891,             0.00012891
                      5,                0.49132,                  2.476,                 1.0204,                 0.4494,                 9.6921,                 1.0232,                0.00987,                      1,                0.68444,                0.63306,                0.35998,                 3.2172,                0.73889,                0.23313,                 9.2952,                0.73148,             0.00014096,             0.00014096,             0.00014096
                      6,                0.51304,                 2.2239,                0.96633,                0.45706,                 9.4771,                0.94897,                0.00964,                      1,                 0.7165,                0.67924,                0.34786,                 3.1673,                0.73311,                0.25366,                 9.2326,                0.71995,             0.00014311,             0.00014311,             0.00014311
                      7,                0.51158,                 2.0253,                0.92985,                0.51347,                 9.5099,                0.94584,                0.00956,                      1,                0.77583,                0.74348,                0.34513,                 3.1233,                0.72264,                0.28314,                 9.1765,                0.70255,             0.00013536,             0.00013536,             0.00013536
                      8,                0.61123,                 2.1444,                 1.0028,                0.53998,                 9.6202,                0.94156,                0.00962,                      1,                  0.839,                0.79893,                0.34524,                 3.1146,                0.73048,                0.30595,                 9.1696,                0.69762,             0.00011771,             0.00011771,             0.00011771
                      9,                0.46181,                 1.8415,                0.92914,                0.46449,                  9.434,                0.90899,                0.00987,                      1,                  0.853,                0.79758,                0.34145,                 3.1078,                0.72619,                0.29153,                 9.1634,                0.69061,             9.0151e-05,             9.0151e-05,             9.0151e-05
                     10,                0.46234,                 1.7987,                0.90569,                0.41202,                 9.2469,                0.87308,                0.00976,                      1,                  0.853,                0.79824,                0.34321,                 3.0974,                0.73311,                  0.311,                 9.1541,                0.70021,             5.2694e-05,             5.2694e-05,             5.2694e-05
